2025-01-04 19:44:33 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.21 seconds - User: iradi
2025-01-04 19:44:34 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 19:44:35 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 19:44:36 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 19:44:37 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 19:44:49 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.12 seconds - User: iradi
2025-01-04 20:44:24 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.27 seconds - User: iradi
2025-01-04 20:44:24 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.15 seconds - User: iradi
2025-01-04 21:29:58 - FastAPI - INFO - [main.py:64] - Request: method=POST, url=/token, client=192.168.0.168, status_code=200, process_time=0.32 seconds - User: UNKNOWN
2025-01-04 21:29:58 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/user/, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: UNKNOWN
2025-01-04 21:29:59 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.14 seconds - User: UNKNOWN
2025-01-04 21:29:59 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=404, process_time=0.00 seconds - User: UNKNOWN
2025-01-04 21:30:08 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=404, process_time=0.00 seconds - User: UNKNOWN
2025-01-04 21:30:38 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=404, process_time=0.00 seconds - User: UNKNOWN
2025-01-04 21:30:38 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=404, process_time=0.00 seconds - User: UNKNOWN
2025-01-04 21:31:13 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.21 seconds - User: iradi
2025-01-04 21:31:13 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=404, process_time=0.00 seconds - User: iradi
2025-01-04 21:32:34 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.24 seconds - User: iradi
